S.,Aff. No.,Name of,Organization & address,Contact person/,Email Id/ Website,Project Details,,,,
No.,,,,Cell No,,,,,,
1,52,Annapurnamma Vidyarthi,,Ramarao -,deepu.8625@gmail.com,,,,,
,,"Vasathi Gruham, ",,"08985548745, ",,,,,,
,,"58 - 2, Chidhabara Rao Street,",,(O) 09866345590,,Hostel for Tribal boys,,,,
,,"Fort, Kurnool - 518001 ",,,,,,,,
2,72,"Aasara Charitable Trust, ",,D. Padmasree -,dpadmasree@yahoo.co.in,,,,,
,,"D. Padma Sree, ",,9885035420,,,,,,
,,"w/o. D. Muralidhara Rao, ",,,,,,,,
,,"11-2-1/16, Sripuram, ",,,,,,,,
,,Visakhapatnam - 530003,,,,,,,,
3,73,"Seva Bharati, Vijayawada ",,Dr Murlikrishna -,"rssvij@gmail.com,",,,,,
,,"Door No - 29 - 13-4, Madhav",,"09848195170, ","sndurbha@gmail.com, ",,,,,
,,"Sadan, Kaleshwara Rao Road,",,(O) 0866 - 2442040,http://sevabharathiap.blogspot.in,"5 Ekal Vidyalaya,",,,,
,,"Governorpet,",,,,Matruchhaya,,,,
,,Vijayawada - 520002,,,,,,,,
4,74,"Seva Bharathi, Prakasam ",,M. Chandrasekhar -,nrmanduva@gmail.com,,,,,
,,"D.No - 7/86, Andhra Bank",,"08598223017, ",,,,,,
,,"Building Kurnool Road, ",,(O) 08592 - 231303,,,,,,
,,Ongole - 523002,,,,,,,,
5,105,"Seva Bharathi, Kakinada ",,R. Vishwanatham -,"viswanatham.raavi@gmail.com, ",,,,,
,,"c/o. Sri T.S.V. Aditya Sharma, 57- ",,"09398308158, ",prasanna.chamarti@gmail.com,,,,,
,,"3 - 42, Yesuvari Street, ",,(O),"0884 - 2377416,",Hostel for NE Students,,,,
,,"Jaganadhapuram,",,2343689,,Vivekanand Hospital,,,,
,,Kakinada - 533002,,,,,,,,
6,193,"Sanghamithra Seva Samithi, ",,C.H. Srinivas Rao -,"sanghamithrasevasamiti@gmail.com, ",,,,,
,,"D.No. 25/415 - 2, ",,"09441280001, ",FCRA,◆,,,,
,,"R.S. Road, Nandyal - 518502,",,(O) 08514 - 247763,,Boys,hostel,for,Poor,&
,,Dist Karnool,,,,Deprived,,,,
7,250,Somepalli Somayya Vanavasi,,U. Mallikarjuna,"umsarma2912@rediffmail.com, ",,,,,
,,"Vikas Seva Kendram, ",,"Sharma – 9441113985, ",www.ssvvk.com,Bhakta Kannappa,,,,
,,"Gokavaram Village, ",,(O) 08517 - 200563,,Gurukulam for,,,,
,,,,,,Tribal’s,,,,
,,,,,,,,,,2
,,P.O. Kothapalli,"Mandal,",,,,,,,
,,Dist- Kurnool - 518422,,,,,,,,
8,251,"Dhanvanthari Seva Samithi, ",,Subba Lakshmiah -,mdvnramsarma4@gmail.com,,,,,
,,Gokavaram Village P.O.,,"09441059660, ",,Smt Gunampalli,,,,
,,"Kothapalli Mandal, ",,(O) 08517 - 242105,,Narayanamma,,,,
,,Dist - Kurnool - 518422,,,,Hospital,,,,
9,330,"Matsyakara Sankshema Samithi,",,A. Thirupathi -,sramam53@gmail.com,,,,,
,,"Kakinada, ",,"9849878830, ",,"Primary Schools 93, ",,,,
,,"Vyasa Bhavan, ",,(O) 0884 - 2341288,,"Hostel for Boys, ",,,,
